Year,Month,Date,Tsunami,Latitude,Longitude,Focal Depth (km),Magnitude,Deaths,Injuries,Country
1679,9.0,21.0,,13.3,43.3,,,,,YEMEN
1679,12.0,16.0,,31.4,119.5,,5.0,,,CHINA
1680,9.0,9.0,,25.0,101.5,,6.8,2700.0,,CHINA
1680,9.0,28.0,Yes,34.6,137.6,,,,,JAPAN
1680,10.0,9.0,,36.5,-4.4,,,70.0,,SPAIN
1681,3.0,10.0,Yes,-18.5,-70.35,,7.5,,,CHILE
1681,6.0,12.0,Yes,37.5,129.5,,,,,SOUTH KOREA
1681,12.0,11.0,Yes,,,,,,,INDONESIA
1682,5.0,12.0,,48.0,6.5,,,,,FRANCE
1682,,,,20.0,-75.5,,,,,CUBA
1682,,,,17.0,-96.3,,,,,MEXICO
1683,11.0,22.0,,38.7,112.7,,7.0,1001.0,,CHINA
1683,11.0,27.0,,27.7,54.3,,,,,IRAN
1683,,,,40.1,44.3,,,,,ARMENIA
1684,,,,19.0,-71.0,,,,,DOMINICAN REPUBLIC
1687,2.0,19.0,,18.3,-77.5,,,,,JAMAICA
1687,4.0,,,36.2,59.4,,,,,IRAN
1687,7.0,12.0,Yes,-32.8,-70.7,,7.5,,,CHILE
1687,10.0,20.0,Yes,-13.5,-76.5,30.0,8.5,5000.0,,PERU
1687,11.0,22.0,,-1.3,-78.6,,7.3,,,ECUADOR
1688,1.0,,,40.38,16.55,,,2000.0,,ITALY
1688,2.0,19.0,,17.917,-76.867,,,,,JAMAICA
1688,3.0,1.0,Yes,17.6,-76.5,,,,,JAMAICA
1688,4.0,11.0,,44.4,12.0,,,,,ITALY
1688,5.0,,,24.0,68.0,,,,,PAKISTAN
1688,6.0,5.0,,41.17,14.75,,,3311.0,,ITALY
1688,6.0,14.0,,26.5,99.9,,6.3,190.0,,CHINA
1688,7.0,10.0,Yes,38.4,26.9,,7.0,16000.0,,TURKEY
1688,7.0,12.0,,38.4,26.9,,7.5,,,GREECE
1688,,,,43.7,44.7,15.0,5.3,,,RUSSIA
1689,3.0,,,-2.2,-78.9,5.0,6.8,,,ECUADOR
1689,12.0,22.0,,47.7,10.9,,,19.0,,AUSTRIA
1690,4.0,16.0,Yes,17.5,-61.5,,8.0,,,ANTIGUA; SAINT KITTS AND NEVIS
1690,12.0,4.0,,46.6,13.8,,,20.0,,AUSTRIA
1691,,,,18.3,-70.4,,,,,DOMINICAN REPUBLIC
1692,6.0,7.0,Yes,17.8,-76.7,10.0,,1000.0,,JAMAICA
1692,9.0,13.0,,-25.4,-64.8,,7.0,,,ARGENTINA
1692,,,,40.1,44.3,,,,,ARMENIA
1693,1.0,9.0,Yes,37.333,15.167,,6.0,60000.0,,ITALY
